time,height
71.5,13284.8
71.6,13322
71.7,13359.2
71.8,13396.5
71.9,13433.8
72,13471.2
72.1,13508.6
72.2,13546.1
72.3,13583.6
72.4,13621.2
72.5,13658.8
72.6,13696.5
72.7,13734.2
72.8,13772
72.9,13809.8
73,13847.7
73.1,13885.6
73.2,13923.6
73.3,13961.7
73.4,13999.8
73.5,14037.9
73.6,14076.1
73.7,14114.4
73.8,14152.7
73.9,14191
74,14229.4
74.1,14267.9
74.2,14306.4
74.3,14345
74.4,14383.6
74.5,14422.2
74.6,14460.9
74.7,14499.7
74.8,14538.5
74.9,14577.4
75,14616.3
75.1,14655.3
75.2,14694.3
75.3,14733.4
75.4,14772.6
75.5,14811.7
75.6,14851
75.7,14890.3
75.8,14929.6
75.9,14969
76,15008.4
76.1,15047.9
76.2,15087.5
76.3,15127.1
76.4,15166.7
76.5,15206.4
76.6,15246.2
76.7,15286
76.8,15325.9
76.9,15365.8
77,15405.7
77.1,15445.8
77.2,15485.8
77.3,15525.9
77.4,15566.1
77.5,15606.3
77.6,15646.6
77.7,15686.9
77.8,15727.3
77.9,15767.7
78,15808.2
78.1,15848.8
78.2,15889.3
78.3,15930
78.4,15970.7
78.5,16011.4
78.6,16052.2
78.7,16093
78.8,16133.9
78.9,16174.9
79,16215.9
79.1,16256.9
79.2,16298.1
79.3,16339.2
79.4,16380.4
79.5,16421.7
79.6,16463
79.7,16504.4
79.8,16545.8
79.9,16587.2
80,16628.8
80.1,16670.3
80.2,16712
80.3,16753.6
80.4,16795.4
80.5,16837.1
80.6,16879
80.7,16920.9
80.8,16962.8
80.9,17004.8
81,17046.8
81.1,17088.9
81.2,17131
81.3,17173.2
81.4,17215.5
81.5,17257.8
81.6,17300.1
81.7,17342.5
81.8,17385
81.9,17427.5
82,17470.1
82.1,17512.7
82.2,17555.3
82.3,17598
82.4,17640.8
82.5,17683.6
82.6,17726.5
82.7,17769.4
82.8,17812.4
82.9,17855.4
83,17898.5
83.1,17941.6
83.2,17984.8
83.3,18028
83.4,18071.3
83.5,18114.7
83.6,18158
83.7,18201.5
83.8,18245
